step,skip_instructions,rl_action,rl_ipc,best_action,best_ipc
0,1000000,l2c_prefetcher=ip_stride|llc_replacement=lru,1.3562148233539024,l2c_prefetcher=next_line|llc_replacement=lru,1.4247926936995983
1,1200100,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.4227059325650875,l2c_prefetcher=next_line|llc_replacement=lru,1.4811271151923575
2,1400200,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.38699140758823,l2c_prefetcher=next_line|llc_replacement=lru,1.4574603752960467
3,1600300,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.4012190422811504,l2c_prefetcher=next_line|llc_replacement=lru,1.474698244398074
4,1800400,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.4781712157158378,l2c_prefetcher=next_line|llc_replacement=lru,1.558842097879206
5,2000500,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.382021462578688,l2c_prefetcher=next_line|llc_replacement=lru,1.4460205911273063
6,2200600,l2c_prefetcher=ip_stride|llc_replacement=srrip,0.6057540577949947,l2c_prefetcher=next_line|llc_replacement=lru,0.6527244719459022
7,2400700,l2c_prefetcher=ip_stride|llc_replacement=lru,0.5755291964501537,l2c_prefetcher=next_line|llc_replacement=lru,0.6165810137157761
8,2600800,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.5277124262886126,l2c_prefetcher=next_line|llc_replacement=lru,1.6033895315744326
9,2800900,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.4745351597634881,l2c_prefetcher=next_line|llc_replacement=lru,1.562376964659563
10,3001000,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.2883111529096507,l2c_prefetcher=next_line|llc_replacement=lru,1.3720432468031392
11,3201100,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.4410643648180306,l2c_prefetcher=next_line|llc_replacement=lru,1.5136110795777047
12,3401200,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.4030445457734129,l2c_prefetcher=next_line|llc_replacement=lru,1.4724690603626618
13,3601300,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.3736075053914094,l2c_prefetcher=next_line|llc_replacement=lru,1.4455985139247276
14,3801400,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.5222050552177122,l2c_prefetcher=next_line|llc_replacement=lru,1.5826995972049664
15,4001500,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.4920696498112531,l2c_prefetcher=next_line|llc_replacement=lru,1.5805653682322167
16,4201600,l2c_prefetcher=ip_stride|llc_replacement=lru,0.5910271602457454,l2c_prefetcher=next_line|llc_replacement=lru,0.6329589437339587
17,4401700,l2c_prefetcher=next_line|llc_replacement=random,0.5305638454498428,l2c_prefetcher=next_line|llc_replacement=lru,0.5305638454498428
18,4601800,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.050216081958863,l2c_prefetcher=next_line|llc_replacement=lru,1.105186085707181
19,4801900,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.0114291493880854,l2c_prefetcher=next_line|llc_replacement=lru,1.0685473099321472
20,5002000,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.098055901746449,l2c_prefetcher=next_line|llc_replacement=lru,1.1529428719663342
21,5202100,l2c_prefetcher=ip_stride|llc_replacement=srrip,0.9707843898650617,l2c_prefetcher=next_line|llc_replacement=lru,1.020022950401632
22,5402200,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.0336772032829589,l2c_prefetcher=next_line|llc_replacement=lru,1.0996019440962372
23,5602300,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.0234469348070823,l2c_prefetcher=next_line|llc_replacement=lru,1.078439513628643
24,5802400,l2c_prefetcher=ip_stride|llc_replacement=srrip,0.6389994696383956,l2c_prefetcher=next_line|llc_replacement=lru,0.6890881089294143
25,6002500,l2c_prefetcher=next_line|llc_replacement=random,1.6021003220173344,l2c_prefetcher=next_line|llc_replacement=lru,1.6021003220173344
26,6202600,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.3414535991200065,l2c_prefetcher=next_line|llc_replacement=lru,1.4078558355624384
27,6402700,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.458895616018674,l2c_prefetcher=next_line|llc_replacement=lru,1.5330016939668718
28,6602800,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.4251307557468398,l2c_prefetcher=next_line|llc_replacement=lru,1.4936631341533544
29,6802900,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.409998096540639,l2c_prefetcher=next_line|llc_replacement=lru,1.4775709219858155
30,7003000,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.4490935964874148,l2c_prefetcher=next_line|llc_replacement=lru,1.5082690436867945
31,7203100,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.4372534224426,l2c_prefetcher=next_line|llc_replacement=lru,1.5208276302582353
32,7403200,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.00756667439119,l2c_prefetcher=next_line|llc_replacement=lru,1.0603822601595843
33,7603300,l2c_prefetcher=ip_stride|llc_replacement=srrip,0.5390048941399681,l2c_prefetcher=next_line|llc_replacement=lru,0.57726010633078
34,7803400,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.3166016049293319,l2c_prefetcher=next_line|llc_replacement=lru,1.370480008222839
35,8003500,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.3794261673218842,l2c_prefetcher=next_line|llc_replacement=lru,1.4571742900024771
36,8203600,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.26000126000126,l2c_prefetcher=next_line|llc_replacement=lru,1.3250385917489846
37,8403700,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.3209428890341925,l2c_prefetcher=next_line|llc_replacement=lru,1.3844087882269878
38,8603800,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.3013892051924392,l2c_prefetcher=next_line|llc_replacement=lru,1.3692058080548766
39,8803900,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.3738356917158951,l2c_prefetcher=next_line|llc_replacement=lru,1.4420346804138577
40,9004000,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.2222792607802875,l2c_prefetcher=next_line|llc_replacement=lru,1.2689803946450098
41,9204100,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.4264796085759526,l2c_prefetcher=next_line|llc_replacement=lru,1.4839511485724461
42,9404200,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.338542468393824,l2c_prefetcher=next_line|llc_replacement=lru,1.4031219306861231
43,9604300,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.2240937161463274,l2c_prefetcher=next_line|llc_replacement=lru,1.2867841494720995
44,9804400,l2c_prefetcher=ip_stride|llc_replacement=srrip,0.5844603677424633,l2c_prefetcher=next_line|llc_replacement=lru,0.6325490779015817
45,10004500,l2c_prefetcher=ip_stride|llc_replacement=lru,1.405448898133573,l2c_prefetcher=next_line|llc_replacement=lru,1.4761528696268305
46,10204600,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.5198911779680981,l2c_prefetcher=next_line|llc_replacement=lru,1.5888212770690011
47,10404700,l2c_prefetcher=ip_stride|llc_replacement=srrip,1.293605158819991,l2c_prefetcher=next_line|llc_replacement=lru,1.3809500794034386
48,10604800,l2c_prefetcher=next_line|llc_replacement=lru,1.5253319503656984,l2c_prefetcher=next_line|llc_replacement=lru,1.5253319503656984
49,10804900,l2c_prefetcher=next_line|llc_replacement=lru,1.5115213990432212,l2c_prefetcher=next_line|llc_replacement=lru,1.5115213990432212
50,11005000,l2c_prefetcher=next_line|llc_replacement=lru,1.4587825122901197,l2c_prefetcher=next_line|llc_replacement=lru,1.4587825122901197
51,11205100,l2c_prefetcher=next_line|llc_replacement=lru,1.6117593965572818,l2c_prefetcher=next_line|llc_replacement=lru,1.6117593965572818
52,11405200,l2c_prefetcher=next_line|llc_replacement=lru,1.507556627595824,l2c_prefetcher=next_line|llc_replacement=lru,1.507556627595824
53,11605300,l2c_prefetcher=next_line|llc_replacement=lru,0.7985785585945299,l2c_prefetcher=next_line|llc_replacement=lru,0.7985785585945299
54,11805400,l2c_prefetcher=ip_stride|llc_replacement=random,1.5343106794626897,l2c_prefetcher=next_line|llc_replacement=lru,1.605088078327515
55,12005500,l2c_prefetcher=ip_stride|llc_replacement=random,1.4639968377826416,l2c_prefetcher=next_line|llc_replacement=lru,1.5486905886543494
56,12205600,l2c_prefetcher=ip_stride|llc_replacement=lru,1.3934675222428916,l2c_prefetcher=next_line|llc_replacement=lru,1.4520538994322554
57,12405700,l2c_prefetcher=ip_stride|llc_replacement=random,1.469486569094222,l2c_prefetcher=next_line|llc_replacement=lru,1.5546288379323747
58,12605800,l2c_prefetcher=ip_stride|llc_replacement=random,1.3642608167747832,l2c_prefetcher=next_line|llc_replacement=lru,1.4310389238694905
59,12805900,l2c_prefetcher=ip_stride|llc_replacement=random,1.3946891300103206,l2c_prefetcher=next_line|llc_replacement=lru,1.46142998063644
60,13006000,l2c_prefetcher=no|llc_replacement=lru,1.499823770706942,l2c_prefetcher=next_line|llc_replacement=lru,1.5976227373667982
61,13206100,l2c_prefetcher=no|llc_replacement=lru,1.4390640514599013,l2c_prefetcher=next_line|llc_replacement=lru,1.5419438897840552
62,13406200,l2c_prefetcher=no|llc_replacement=lru,0.7435212068715543,l2c_prefetcher=next_line|llc_replacement=lru,0.798500431185921
63,13606300,l2c_prefetcher=ip_stride|llc_replacement=random,1.4794106116531427,l2c_prefetcher=next_line|llc_replacement=lru,1.565887649246428
64,13806400,l2c_prefetcher=ip_stride|llc_replacement=random,1.4061236685766514,l2c_prefetcher=next_line|llc_replacement=lru,1.4760147601476015
65,14006500,l2c_prefetcher=ip_stride|llc_replacement=random,1.3985147995608729,l2c_prefetcher=next_line|llc_replacement=lru,1.4634008926611546
66,14206600,l2c_prefetcher=ip_stride|llc_replacement=random,1.3651224856150217,l2c_prefetcher=next_line|llc_replacement=lru,1.4305128388527286
67,14406700,l2c_prefetcher=ip_stride|llc_replacement=random,1.5169631006105655,l2c_prefetcher=next_line|llc_replacement=lru,1.583487720298323
68,14606800,l2c_prefetcher=ip_stride|llc_replacement=random,1.3543983205796708,l2c_prefetcher=next_line|llc_replacement=lru,1.4370684390156279
69,14806900,l2c_prefetcher=next_line|llc_replacement=lru,1.582297608404997,l2c_prefetcher=next_line|llc_replacement=lru,1.582297608404997
70,15007000,l2c_prefetcher=ip_stride|llc_replacement=random,1.3694690568466605,l2c_prefetcher=next_line|llc_replacement=lru,1.4312806383511647
71,15207100,l2c_prefetcher=next_line|llc_replacement=lru,0.852588860185351,l2c_prefetcher=next_line|llc_replacement=lru,0.852588860185351
72,15407200,l2c_prefetcher=ip_stride|llc_replacement=random,1.5101137847979886,l2c_prefetcher=next_line|llc_replacement=lru,1.569828499666418
73,15607300,l2c_prefetcher=ip_stride|llc_replacement=random,2.1532324917909245,l2c_prefetcher=next_line|llc_replacement=lru,2.193255839456081
74,15807400,l2c_prefetcher=ip_stride|llc_replacement=random,2.137435743980507,l2c_prefetcher=next_line|llc_replacement=lru,2.184811343427061
75,16007500,l2c_prefetcher=ip_stride|llc_replacement=random,1.4985875812047145,l2c_prefetcher=next_line|llc_replacement=lru,1.578918283084259
76,16207600,l2c_prefetcher=ip_stride|llc_replacement=random,2.0884011360788572,l2c_prefetcher=next_line|llc_replacement=lru,2.1315130394006245
77,16407700,l2c_prefetcher=ip_stride|llc_replacement=random,2.030333177674456,l2c_prefetcher=next_line|llc_replacement=lru,2.0820320632937745
78,16607800,l2c_prefetcher=ip_stride|llc_replacement=random,1.5097984449309279,l2c_prefetcher=next_line|llc_replacement=lru,1.5777711161774335
79,16807900,l2c_prefetcher=ip_stride|llc_replacement=random,1.9784937726908505,l2c_prefetcher=next_line|llc_replacement=lru,2.0182042019011486
80,17008000,l2c_prefetcher=ip_stride|llc_replacement=random,2.1903755380083014,l2c_prefetcher=next_line|llc_replacement=lru,2.2310086339602435
81,17208100,l2c_prefetcher=ip_stride|llc_replacement=random,1.419215894979599,l2c_prefetcher=next_line|llc_replacement=lru,1.4968715853129164
82,17408200,l2c_prefetcher=ip_stride|llc_replacement=random,2.1643850440993453,l2c_prefetcher=next_line|llc_replacement=lru,2.1998328127062345
83,17608300,l2c_prefetcher=ip_stride|llc_replacement=random,1.404683143352788,l2c_prefetcher=next_line|llc_replacement=lru,1.4802318008229964
84,17808400,l2c_prefetcher=ip_stride|llc_replacement=random,1.499666324242856,l2c_prefetcher=next_line|llc_replacement=lru,1.5728092732834753
85,18008500,l2c_prefetcher=ip_stride|llc_replacement=random,2.136866285592179,l2c_prefetcher=next_line|llc_replacement=lru,2.196257577088641
86,18208600,l2c_prefetcher=ip_stride|llc_replacement=random,1.4657168821270483,l2c_prefetcher=next_line|llc_replacement=lru,1.5355086372360844
87,18408700,l2c_prefetcher=ip_stride|llc_replacement=random,1.5459014492753622,l2c_prefetcher=next_line|llc_replacement=lru,1.6181179763917768
88,18608800,l2c_prefetcher=ip_stride|llc_replacement=random,2.086234053428187,l2c_prefetcher=next_line|llc_replacement=lru,2.1294598652058645
89,18808900,l2c_prefetcher=ip_stride|llc_replacement=random,1.9858313061609492,l2c_prefetcher=next_line|llc_replacement=lru,2.039473415862786
90,19009000,l2c_prefetcher=ip_stride|llc_replacement=random,1.53933362580526,l2c_prefetcher=next_line|llc_replacement=lru,1.6113778823377753
91,19209100,l2c_prefetcher=ip_stride|llc_replacement=random,1.516422776556221,l2c_prefetcher=next_line|llc_replacement=lru,1.603831534377957
92,19409200,l2c_prefetcher=ip_stride|llc_replacement=random,1.5088530625485654,l2c_prefetcher=next_line|llc_replacement=lru,1.575794582499488
93,19609300,l2c_prefetcher=ip_stride|llc_replacement=random,2.090212677013116,l2c_prefetcher=next_line|llc_replacement=lru,2.1196981580007206
94,19809400,l2c_prefetcher=no|llc_replacement=random,1.3642819138050997,l2c_prefetcher=next_line|llc_replacement=lru,1.435984146814285
95,20009500,l2c_prefetcher=ip_stride|llc_replacement=random,1.9832616068064177,l2c_prefetcher=next_line|llc_replacement=lru,2.040336648814078
96,20209600,l2c_prefetcher=ip_stride|llc_replacement=random,1.5032620296739474,l2c_prefetcher=next_line|llc_replacement=lru,1.5610964977325414
97,20409700,l2c_prefetcher=ip_stride|llc_replacement=random,2.14105103144102,l2c_prefetcher=next_line|llc_replacement=lru,2.178243917314688
98,20609800,l2c_prefetcher=ip_stride|llc_replacement=random,1.5509759369692835,l2c_prefetcher=next_line|llc_replacement=lru,1.6238227461678358
99,20809900,l2c_prefetcher=ip_stride|llc_replacement=random,1.5576479750778816,l2c_prefetcher=next_line|llc_replacement=lru,1.6342035380152797
