application,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV
400.perlbench-41B,0.48073980222798407,0.48074832957630326,0.48022376862795213,0.48022878976630734,0.4818594403421556,0.4818582077747311,0.48143888156370646,0.48143623784586403
401.bzip2-226B,1.9334702097644365,1.9334702097644365,1.9334702097644365,1.9334702097644365,1.9583408198175505,1.9583408198175505,1.9583408198175505,1.9583408198175505
403.gcc-16B,0.7431068852161615,0.7431382559240356,0.7431088306968802,0.743138697286992,0.7434165903297901,0.7434544445150009,0.7433956029629916,0.7434502622440132
410.bwaves-1963B,1.7953867274303779,1.7966796682126887,1.7953867274303779,1.7966796682126887,1.3813072034268474,1.3820174453577163,1.3813072034268474,1.3820174453577163
416.gamess-875B,0.9698174491208715,0.9698174491208715,0.9695678927401472,0.9695678927401472,0.9679750839738371,0.9679750839738371,0.9678472654175978,0.9678472654175978
429.mcf-184B,0.05689884861157367,0.056944279260141076,0.05689884861157367,0.056944279260141076,0.056882147191062646,0.0569264936569837,0.056882147191062646,0.0569264936569837
433.milc-127B,0.3514422735055211,0.3514410247504095,0.3514422735055211,0.3514410247504095,0.3521946356094387,0.35222416333469175,0.3521946356094387,0.35222416333469175
434.zeusmp-10B,0.9074400542865493,0.9074442711470349,0.9074400542865493,0.9074442711470349,0.8892460776290076,0.8892493566583523,0.8892460776290076,0.8892493566583523
435.gromacs-111B,0.6438663862885561,0.6438665809695465,0.6439466503830815,0.6439374186429232,0.6364358524944895,0.6364362995177661,0.6364163842298848,0.636416664488507
436.cactusADM-1804B,1.2294572706543596,1.2295382608361463,1.2294572706543596,1.2295382608361463,1.2230056539845082,1.2228543691500113,1.2230056539845082,1.2228543691500113
437.leslie3d-134B,1.162149154464743,1.1620779595129946,1.162149154464743,1.1620779595129946,1.1594946518206555,1.1592648399566452,1.1594946518206555,1.1592648399566452
444.namd-120B,1.6700454339059903,1.6700454339059903,1.6700454339059903,1.6700454339059903,1.6880283047644704,1.6880283047644704,1.6880283047644704,1.6880283047644704
445.gobmk-17B,0.6244550306966163,0.6244846554574212,0.6239004613958099,0.6239097402280998,0.6257980817063995,0.6257976401927767,0.625781592191355,0.6257748480778893
447.dealII-3B,1.247349279129501,1.247349279129501,1.24736626037084,1.24736626037084,1.2585300835916118,1.2585300835916118,1.2585300478216621,1.2585300478216621
450.soplex-247B,0.656090515765905,0.6563234228434476,0.6560698888755632,0.656305568411581,0.6385447166248331,0.6385780959585716,0.6385424608859277,0.638578334715622
453.povray-252B,0.5505387361003403,0.5505385560579167,0.5504748412941531,0.550477065663977,0.5536497866774054,0.5536491363060346,0.5538577300886389,0.5538510469599042
454.calculix-104B,2.84632339199876,2.84632339199876,2.84632339199876,2.84632339199876,2.844685091124365,2.844685091124365,2.844685091124365,2.844685091124365
456.hmmer-191B,1.758220770570095,1.758220770570095,1.758220770570095,1.758220770570095,1.7243358559940685,1.7243358559940685,1.7243358559940685,1.7243358559940685
458.sjeng-1088B,0.7399174359209083,0.7399174359209083,0.7400153319786905,0.7400153319786905,0.7395347929045893,0.7395347929045893,0.7396784665894026,0.7396784665894026
459.GemsFDTD-1169B,1.2987182809452498,1.2984292541828442,1.2987182809452498,1.2984292541828442,1.3150371514181618,1.3150257690944431,1.3150371514181618,1.3150257690944431
462.libquantum-1343B,1.3218320564550141,1.3204305213700087,1.3218320564550141,1.3204305213700087,1.4519806443222967,1.4525425721765144,1.4519806443222967,1.4525425721765144
464.h264ref-30B,1.8598234980339974,1.8598464981516494,1.8598234980339974,1.8598464981516494,1.8644951959735863,1.8644951959735863,1.8644951959735863,1.8644951959735863
465.tonto-1914B,0.9251993126515375,0.9252145842244198,0.9253026457954124,0.9253019417441579,0.9251129005299279,0.925112126177627,0.9248160794519817,0.9248153074112601
470.lbm-1274B,1.2883451293938344,1.2906663256329411,1.2883451293938344,1.2906663256329411,1.4674492361815061,1.467848182526423,1.4674492361815061,1.467848182526423
471.omnetpp-188B,0.18141120979043573,0.18140379807132576,0.18145289984765342,0.18146135217521844,0.1823812585306018,0.182395422605825,0.18249970812028962,0.18246608949150567
473.astar-153B,0.6431083841584773,0.6431126989763345,0.6431083841584773,0.6431126989763345,0.63575290318682,0.635752617480408,0.63575290318682,0.635752617480408
481.wrf-1170B,0.9526187619015488,0.9526187619015488,0.9526946104907181,0.9526946104907181,0.948919434330013,0.948919434330013,0.9491040647806223,0.9491040647806223
482.sphinx3-1100B,1.1559578638174883,1.156060533641013,1.1559578638174883,1.156060533641013,1.1369124675043298,1.1369360142427767,1.1369124675043298,1.1369360142427767
483.xalancbmk-127B,0.2017625755547271,0.201765795416606,0.20169066400774058,0.2017168652686509,0.21039978140270893,0.2104072091152186,0.2103425991304459,0.2103547995854967
600.perlbench_s-1273B,1.7909574860171866,1.7909574860171866,1.790950490753816,1.790950490753816,1.7904886472770138,1.7904886472770138,1.7904850343943142,1.7904850343943142
602.gcc_s-1850B,0.8611127101713575,0.8608321299278358,0.8611127101713575,0.8608321299278358,0.9280936292240373,0.9280698712708653,0.9280936292240373,0.9280698712708653
603.bwaves_s-1080B,1.898381362587776,1.898381362587776,1.898439608360798,1.898439608360798,1.921528877579953,1.921528877579953,1.9215953681349272,1.9215953681349272
605.mcf_s-1152B,0.1460694431186499,0.14610482893408622,0.1460694422085541,0.1461048330766789,0.1455068638671754,0.14555994898951188,0.14550686755550146,0.14555995488540893
607.cactuBSSN_s-2421B,1.0393276296089717,1.0404612729280542,1.0435404630000569,1.0436217034877542,1.0389420961010978,1.038284761115215,1.0411131357853243,1.0412577355597126
619.lbm_s-2676B,0.8827407600848484,0.8831485691642759,0.8827407600848484,0.8831485691642759,1.0033086148014265,1.0044072680213718,1.0033086148014265,1.0044072680213718
620.omnetpp_s-141B,0.13588969750265786,0.13589170294022726,0.13587824884548863,0.1358845299664543,0.13590717711408448,0.13591166520064835,0.13586575362424885,0.13587106927818607
621.wrf_s-575B,1.2155214655316788,1.2155214655316788,1.215506978204425,1.215506978204425,1.2148908905803384,1.2148908905803384,1.2148729599160684,1.2148729599160684
623.xalancbmk_s-10B,0.17133852683428114,0.17133107489319138,0.17116491183066024,0.1711668585265032,0.17254896891956217,0.17253184464682522,0.1723453959436632,0.17233308264825653
625.x264_s-12B,2.0390460289228804,2.0390460289228804,2.039627318635191,2.039627318635191,1.9821379126087602,1.9821379126087602,1.9819269761636007,1.9819269761636007
627.cam4_s-490B,1.3722673239639602,1.3724538986101862,1.3722673239639602,1.3724538986101862,1.3881383839965589,1.3883474433983474,1.3881383839965589,1.3883474433983474
628.pop2_s-17B,0.7881578194709484,0.7881085893727169,0.7881432378482565,0.788093902298599,0.7872587734071669,0.787250275042725,0.7872344934878706,0.7872710572797701
631.deepsjeng_s-928B,0.7593339838378335,0.7593339838378335,0.7597779229089295,0.7597779229089295,0.7618311582097823,0.7618311582097823,0.7622039375943668,0.7622039375943668
638.imagick_s-10316B,1.2387175548279719,1.2387175548279719,1.2387175548279719,1.2387175548279719,1.1160526026006556,1.1160526026006556,1.1160526026006556,1.1160526026006556
641.leela_s-1052B,0.7199753168396948,0.7199753168396948,0.7206729132243023,0.7206729132243023,0.7182297498577087,0.7182297498577087,0.7187214813481397,0.7187214813481397
644.nab_s-12459B,1.3012294982190489,1.3012294982190489,1.3012294982190489,1.3012294982190489,1.2565134100742337,1.2565134100742337,1.2565134100742337,1.2565134100742337
648.exchange2_s-1227B,2.0336191309653397,2.0336191309653397,2.0337104665910517,2.0337104665910517,2.0450893213327004,2.0450893213327004,2.045370889360948,2.045370889360948
649.fotonik3d_s-10881B,0.6102061985882176,0.609946879488131,0.6102061985882176,0.609946879488131,0.5394587797084246,0.5393045763165638,0.5394587797084246,0.5393045763165638
654.roms_s-1007B,1.1549285169774277,1.1549285169774277,1.1549285169774277,1.1549285169774277,1.1464446148388427,1.1464446148388427,1.1464446148388427,1.1464446148388427
657.xz_s-2302B,0.3211284566726451,0.32113076706156457,0.32118689902736214,0.3211891873426041,0.3215778041756163,0.3215745626474653,0.32159754686005404,0.3215976243999752
